"word","definition","quizId","questionNumber","randomDefOne","randomDefTwo","randomDefThree"
"somersault","rolling backward or forward (not sideways) movement","5bb70604b9e91037328e61aa","2","succession connected line of","discover by searching search","rash; indiscreet"
"extinguish","end the existence of/wipe or put out","5bb70604b9e91037328e61aa","3","a person who is attracted to foreign peoples cultures","taken away power (to think feel act)","upset the self-possession of"
"edible","fit to be eaten/not poisonous","5bb70604b9e91037328e61aa","4","happening from time to time","threats to compel somebody","slander; aspersion"
"conjoin","to join together","5bb70604b9e91037328e61aa","5","close connection; relationship","bad-tempered;irritable","deserved and unavoidable punishment for wrong doing"
"surcharge","additional load/charge","5bb70604b9e91037328e61aa","6","smell (especially pleasant)","shameless immorality","extreme; astounding"
"accolade","praise; approval","5bb70604b9e91037328e61aa","7","Bold","an invocation of evil a curse","unfortunate inconvenient"
"disallow","refuse to allow or accept as a correct","5bb70604b9e91037328e61aa","8","undress","assistance relief in time of distress","a supporting bar"
"opaqueness","dullness/not allowing light to pass through","5bb70604b9e91037328e61aa","9","Keen, quick, accurate insight or judgment","wandering","fluent"
"impermeable","that cannot be permeated","5bb70604b9e91037328e61aa","10","made up of different kinds","involving clever rogues or adventurers","reproving a person for his faults"
"console","give comfort or sympathy to","5bb70604b9e91037328e61aa","11","cruel killing of a large number of people","bending; twisting","urgent; imperative; unchallenged; ending debate"
"timid","shy easily frightened","5bb70604b9e91037328e61aa","12","strong dislike","courageous; high-spirited","straightforward.; lacking in imagination and spirit"
"abscond","to go away suddenly (to avoid arrest)","5bb70604b9e91037328e61aa","13","process of burning","parody/imitation","rob or dispossess of something (material)"
"abide","be faithful; to endure","5bb70604b9e91037328e61aa","14","making unpure; poorer in quality","disgusting offensive due to excessiveness","to shackle put in chains"
"embezzle","use in a wrong way for one's own benefit","5bb70604b9e91037328e61aa","15","make quiet or calm","intractable not willing to yield or comply stubborn","flattery; coaxing"
"warrant","authority written order guarantee","5bb70604b9e91037328e61aa","16","doing or happening something before the right time","strength","insincere talk/jargon"
"reminiscent","suggest something in the past","5bb70604b9e91037328e61aa","17","easily injured broken or destroyed","of mixed colors","showing vulgar in nature or appearance; tawdry"
"extinct","no longer active","5bb70604b9e91037328e61aa","18","Bequest or inheritance","Covered with hair","mob crowd the lower classes of populace"
"loll","rest to sit or stand in a lazy way hang (dog's tongue)","5bb70604b9e91037328e61aa","19","put under water liquid sink out of sight","effete no longer fertile; worn out","to be involved"
"acclaimed","welcomed with shouts and approval","5bb70604b9e91037328e61aa","20","severe suffering","infertile; worn out; weak","flag/badge"
"conceal","hide keep secret","5bb70604b9e91037328e61aa","21","native","nickname","roughness; harshness; ill temper; irritability"
"clientele","customers","5bb70604b9e91037328e61aa","22","well-suited; quick-witted","to go proceed","wickedness shamefulness"
"shallow","little depth; not earnest","5bb70604b9e91037328e61aa","23","have a mutual relation","speak or behave so as to hide something (in mind)","insubordinate rebellious"
"catalyst","substance that causes speeding up","5bb70604b9e91037328e61aa","24","to complain","to assuage to satisfy allay","a carefree episode or experience"
"inquest","Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death","5bb70604b9e91037328e61aa","25","Without preparation or forethought","voracious; devouring","banal; everyday"
"shunned","avoided, kept away from","5bb70604b9e91037328e61ab","1","rolling backward or forward (not sideways) movement","compel","ready and smooth but not sincere"
"brittle","easily broken","5bb70604b9e91037328e61ab","2","end the existence of/wipe or put out","bitter protest","oppose to alcohol"
"poseur","a person who attempts to impress by acting unlike himself","5bb70604b9e91037328e61ab","3","fit to be eaten/not poisonous","hurt the pride or self-respect stir (curiosity)","(give a) silly/self-conscious smile"
"dangle","hand or swing loosely","5bb70604b9e91037328e61ab","4","to join together","show some inclination to accept (an offer)","abusive language; curses"
"moribund","in a dying state; near death","5bb70604b9e91037328e61ab","5","additional load/charge","slandering verbal attack aspersion","hairy; shaggy"
"relapse","fall back again","5bb70604b9e91037328e61ab","6","praise; approval","remedial wholesome causing improvement","offense resentment"
"ascend","go or come up","5bb70604b9e91037328e61ab","7","refuse to allow or accept as a correct","meal","attractive on the surface but of little value"
"asterisk","the mark * (e.g.. omitted letters)","5bb70604b9e91037328e61ab","8","dullness/not allowing light to pass through","turmoil a bewildering jumble","challenged to be doubted"
"negligent","taking too little care","5bb70604b9e91037328e61ab","9","that cannot be permeated","a procession","demeanor"
"affable","polite and friendly","5bb70604b9e91037328e61ab","10","give comfort or sympathy to","a quack remedy; an untested cure","make angry"
"arrogance","proud; superior manner of behaviour","5bb70604b9e91037328e61ab","11","shy easily frightened","greatly surprised","real rightly named"
"livid","Furiously angry, enraged","5bb70604b9e91037328e61ab","12","to go away suddenly (to avoid arrest)","heavy; bulky; dull","easy-going trifle"
"rejuvenation","becoming young in nature or appearance","5bb70604b9e91037328e61ab","13","be faithful; to endure","to be thrifty to set limits","suitably expressed; well chosen; apropos"
"divergence","getting farther apart from a point","5bb70604b9e91037328e61ab","14","use in a wrong way for one's own benefit","to tolerate; endure","fallacious; reasoning faulty logic"
"allegiance","duty support loyalty","5bb70604b9e91037328e61ab","15","authority written order guarantee","induce by bribery or something to commit perjury","cut roughly; hired horse"
"vigorous","strong energetic","5bb70604b9e91037328e61ab","16","suggest something in the past","to roam wander freely","quality of endurance or courage"
"dullard","a stupid, insensitive person","5bb70604b9e91037328e61ab","17","no longer active","little known; abstruse","something reverting to an earlier type"
"dwarf","person much smaller the usual size","5bb70604b9e91037328e61ab","18","rest to sit or stand in a lazy way hang (dog's tongue)","make unfair selection from facts","the stage setting or scenery of a play"
"fragrant","sweet-smelling","5bb70604b9e91037328e61ab","19","welcomed with shouts and approval","To flatter; to cajole","obsequious flatterer"
"judicious","sound in judgment; wise","5bb70604b9e91037328e61ab","20","hide keep secret","shining; brilliant","satiate feed to fulness or to excess"
"nihilism","total rejection of all religious and moral beliefs","5bb70604b9e91037328e61ab","21","customers","mean; contemptible","traveling about wandering"
"odor","smell","5bb70604b9e91037328e61ab","22","little depth; not earnest","adjective","epidemic"
"scribble","write hastily","5bb70604b9e91037328e61ab","23","substance that causes speeding up","essential part force soft liquid substance","beginning"
"yarn","tale story fibers for knitting","5bb70604b9e91037328e61ab","24","Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death","persevering","to great to be described in words"
"sawdust","tiny bits of wood","5bb70604b9e91037328e61ab","25","avoided, kept away from","beg urgently solicit (of a prostitute)","mournful; melancholy; sorrowful"
"ameliorate","improve; make better","5bb70604b9e91037328e61ac","1","easily broken","tiring because too long","waste away through sorrow or illness"
"hospitable","liking to give hospitality","5bb70604b9e91037328e61ac","2","a person who attempts to impress by acting unlike himself","pronounce or speak affectedly euphemize","seeming appearing as such professed"
"ingest","take in by swallowing","5bb70604b9e91037328e61ac","3","hand or swing loosely","complex","agreeably pungent; stimulating"
"gait","a manner of walking, stepping, or running","5bb70604b9e91037328e61ac","4","in a dying state; near death","to awaken or rouse","tap or drive down by repeated light blows"
"sluggard","lazy slow-moving person","5bb70604b9e91037328e61ac","5","fall back again","bulge; the protuberance of a cask","representing the whole Christian world"
"succumb","yield, die","5bb70604b9e91037328e61ac","6","go or come up","bombastic","To solicit customers, votes, or patronage"
"flop","fail/move/fall clumsily","5bb70604b9e91037328e61ac","7","the mark * (e.g.. omitted letters)","make hard and without feeling","menacing; threatening"
"defer","postpone","5bb70604b9e91037328e61ac","8","taking too little care","at be discontented with","discuss thoroughly sort of touting"
"ossified","turned to bone; hardened like bone; Inflexible","5bb70604b9e91037328e61ac","9","polite and friendly","catch sight of see something in the distance","refrain from; be patient; ancestor"
"eloquence","fluent speaking skillful use of language","5bb70604b9e91037328e61ac","10","proud; superior manner of behaviour","paint portray","paint with dots"
"reiterate","say or do again several times","5bb70604b9e91037328e61ac","11","Furiously angry, enraged","jesting","king of blue-grey stone propose criticize"
"derivative","unoriginal; obtained from another source","5bb70604b9e91037328e61ac","12","becoming young in nature or appearance","write in scholarly fashion","get to the root of"
"clot","half-solid lump formed from liquid","5bb70604b9e91037328e61ac","13","getting farther apart from a point","made of brass","to stop the flow of a fluid"
"weigh","measure hoe heavy something is","5bb70604b9e91037328e61ac","14","duty support loyalty","without refinement or sensitivity; gross.","showing respect"
"commuter","person who travels regularly","5bb70604b9e91037328e61ac","15","strong energetic","put something warm (to lessen the pain)","slander"
"steeply","rising or falling sharply","5bb70604b9e91037328e61ac","16","a stupid, insensitive person","merry person","various miscellaneous; separate"
"narcissism","Self-love","5bb70604b9e91037328e61ac","17","person much smaller the usual size","cowardice a cowardly giving up","surprise and fear; dismay"
"benefactor","person who has given help","5bb70604b9e91037328e61ac","18","sweet-smelling","witness/evidence","to beg; to get by begging"
"complaisant","trying to please; obliging","5bb70604b9e91037328e61ac","19","sound in judgment; wise","in the highest degree","able to fly trained experienced"
"plea","request","5bb70604b9e91037328e61ac","20","total rejection of all religious and moral beliefs","try to avoid by sophistication","Cheap and showy"
"moderation","quality of being limited; not extreme","5bb70604b9e91037328e61ac","21","smell","a hasty escape; flight.","have nothing to do reject or refuse"
"enduring","lasting","5bb70604b9e91037328e61ac","22","write hastily","pompous self important","to hesitate; raise objections"
"invincible","too strong to be defeated","5bb70604b9e91037328e61ac","23","tale story fibers for knitting","sparkle","noisy and rough"
"turmoil","trouble disturbance","5bb70604b9e91037328e61ac","24","tiny bits of wood","to consume (liquids) by drinking; drink","to adorn especially in a cheap showy manner"
"flimsy","lacking solidarity, strength","5bb70604b9e91037328e61ac","25","improve; make better","marked by the characteristics of an earlier period","cessation of use disuse"
"tadpole","form of a frog when it leaves the egg","5bb70604b9e91037328e61ad","1","liking to give hospitality","medicine used against a poison or a disease","provide supply"
"reconcile","settle a quarrel restore peace","5bb70604b9e91037328e61ad","2","take in by swallowing","to make great efforts, to struggle","to favor or approve of"
"cryptic","secret with a hidden meaning","5bb70604b9e91037328e61ad","3","a manner of walking, stepping, or running","able to use the left hand or the right equally well","asking humbly beseeching"
"salvage","the saving of property from loss","5bb70604b9e91037328e61ad","4","lazy slow-moving person","a person or thing that precedes, as in a process or job.","noisy; loud"
"sponge","porous rubber for washing live at once expense","5bb70604b9e91037328e61ad","5","yield, die","one who loves mankind","arrogance"
"sanity","health of mind soundness of judgment","5bb70604b9e91037328e61ad","6","fail/move/fall clumsily","Looking back on past","formidable causing fear"
"torque","twisting force causing rotation","5bb70604b9e91037328e61ad","7","postpone","doubtful; uncertain","obstacle purposely to get on the way of"
"encapsulate","enclose in capsule","5bb70604b9e91037328e61ad","8","turned to bone; hardened like bone; Inflexible","one who turns towards himself","a loud domineering woman a scold or nag"
"dote","show much fondness center one's attention","5bb70604b9e91037328e61ad","9","fluent speaking skillful use of language","boastful","beat hard"
"fission","splitting or division (esp. of cells)","5bb70604b9e91037328e61ad","10","say or do again several times","attract, lure","not new"
"volatile","changeable inconstant fickle unstable explosive","5bb70604b9e91037328e61ad","11","unoriginal; obtained from another source","state of being balanced","disdainful characterized by haughty scorn"
"alloy","to debase by mixing with something inferior","5bb70604b9e91037328e61ad","12","half-solid lump formed from liquid","make (pain) easier to bear","greatness in number strength weight"
"dormant","in a state of inactivity but awaiting development","5bb70604b9e91037328e61ad","13","measure hoe heavy something is","add beauty; decorate","prayer"
"gallant","brave,behaves well with women","5bb70604b9e91037328e61ad","14","person who travels regularly","malicious; evil; having or showing ill will","person hardened in sin; one devoid of decency"
"grievous","causing grief or pain; serious dire grave","5bb70604b9e91037328e61ad","15","rising or falling sharply","examining one's own thoughts and feelings","sealed by fusion"
"commemorate","keep the memory of","5bb70604b9e91037328e61ad","16","Self-love","government ruled by old people","ending; expiring"
"shard","A piece of broken pottery","5bb70604b9e91037328e61ad","17","person who has given help","make worse; irritate","puzzle in which pictures stand for words"
"hypocrisy","falsely making oneself appear to be good","5bb70604b9e91037328e61ad","18","trying to please; obliging","Suggest or imply in addition to the precise, literal meaning","strange act or idea"
"eradicate","get rid of pull up by the roots","5bb70604b9e91037328e61ad","19","request","to hate; to detest","hence; dark; gloomy"
"chisel","steel tool for shaping materials","5bb70604b9e91037328e61ad","20","quality of being limited; not extreme","active; quick-moving","not permitting penetration or passage; impenetrable"
"infuriate","fill with fury or rage","5bb70604b9e91037328e61ad","21","lasting","to make an effort, to try very hard","denounce as dangerous"
"engulf","swallow up","5bb70604b9e91037328e61ad","22","too strong to be defeated","wander lose one's way","make by hard work cut (by striking)"
"sadistic","Cruel","5bb70604b9e91037328e61ad","23","trouble disturbance","restore something to better condition","omen marvelous threatening"
"renowned","celebrated; famous","5bb70604b9e91037328e61ad","24","lacking solidarity, strength","mix; combine; unite societies","trivial poorly constructed verse"
"riddle","puzzling person or thing","5bb70604b9e91037328e61ad","25","form of a frog when it leaves the egg","course of study","short and pithy full of maxims/proverbs"
"evoke","call up bring out","5bb70604b9e91037328e61ae","1","settle a quarrel restore peace","feeling sleepy half asleep","ready to do something dishonest"
"mischievous","harmful; causing mischief","5bb70604b9e91037328e61ae","2","secret with a hidden meaning","cause or have difficulty in breathing","person who eats a lot"
"sanction","approval (by authority) penalty","5bb70604b9e91037328e61ae","3","the saving of property from loss","succession connected line of","discover by searching search"
"implicit","implied though; not plainly expressed","5bb70604b9e91037328e61ae","4","porous rubber for washing live at once expense","a person who is attracted to foreign peoples cultures","taken away power (to think feel act)"
"disproof","proof to the contrary","5bb70604b9e91037328e61ae","5","health of mind soundness of judgment","happening from time to time","threats to compel somebody"
"misogynist","one who hates women/females","5bb70604b9e91037328e61ae","6","twisting force causing rotation","close connection; relationship","bad-tempered;irritable"
"abysmal","extreme bad","5bb70604b9e91037328e61ae","7","enclose in capsule","smell (especially pleasant)","shameless immorality"
"writ","written order","5bb70604b9e91037328e61ae","8","show much fondness center one's attention","Bold","an invocation of evil a curse"
"enzyme","catalyst","5bb70604b9e91037328e61ae","9","splitting or division (esp. of cells)","undress","assistance relief in time of distress"
"euphoria","elation state of pleasant excitement","5bb70604b9e91037328e61ae","10","changeable inconstant fickle unstable explosive","Keen, quick, accurate insight or judgment","wandering"
"pertain","belong as a part have reference","5bb70604b9e91037328e61ae","11","to debase by mixing with something inferior","made up of different kinds","involving clever rogues or adventurers"
"inclined","directing the mind in a certain direction","5bb70604b9e91037328e61ae","12","in a state of inactivity but awaiting development","cruel killing of a large number of people","bending; twisting"
"constrict","make tight or smaller","5bb70604b9e91037328e61ae","13","brave,behaves well with women","strong dislike","courageous; high-spirited"
"perish","be destroyed decay","5bb70604b9e91037328e61ae","14","causing grief or pain; serious dire grave","process of burning","parody/imitation"
"Lambaste","attack verbally","5bb70604b9e91037328e61ae","15","keep the memory of","making unpure; poorer in quality","disgusting offensive due to excessiveness"
"meticulous","giving great attention to details","5bb70604b9e91037328e61ae","16","A piece of broken pottery","make quiet or calm","intractable not willing to yield or comply stubborn"
"luminary","star; light-giving body","5bb70604b9e91037328e61ae","17","falsely making oneself appear to be good","doing or happening something before the right time","strength"
"dupe","cheat make a fool of","5bb70604b9e91037328e61ae","18","get rid of pull up by the roots","easily injured broken or destroyed","of mixed colors"
"erratic","irregular in behaviour or opinion","5bb70604b9e91037328e61ae","19","steel tool for shaping materials","Bequest or inheritance","Covered with hair"
"impromptu","without preparation","5bb70604b9e91037328e61ae","20","fill with fury or rage","put under water liquid sink out of sight","effete no longer fertile; worn out"
"auxiliary","helping; supporting","5bb70604b9e91037328e61ae","21","swallow up","severe suffering","infertile; worn out; weak"
"endorse","write one's name on the back of","5bb70604b9e91037328e61ae","22","Cruel","native","nickname"
"turbulence","being uncontrollably violent","5bb70604b9e91037328e61ae","23","celebrated; famous","well-suited; quick-witted","to go proceed"
"tonic","something giving strength or energy","5bb70604b9e91037328e61ae","24","puzzling person or thing","have a mutual relation","speak or behave so as to hide something (in mind)"
"connoisseur","a person with good judgement (e.g.. in art)","5bb70604b9e91037328e61ae","25","call up bring out","to complain","to assuage to satisfy allay"
"indistinct","not easily heard; seen clearly marked","5bb70604b9e91037328e61af","1","harmful; causing mischief","Without preparation or forethought","voracious; devouring"
"abstruse","difficult to comprehend; obscure","5bb70604b9e91037328e61af","2","approval (by authority) penalty","rolling backward or forward (not sideways) movement","compel"
"limp","lacking strength; walking unevenly","5bb70604b9e91037328e61af","3","implied though; not plainly expressed","end the existence of/wipe or put out","bitter protest"
"extralegal","outside the law","5bb70604b9e91037328e61af","4","proof to the contrary","fit to be eaten/not poisonous","hurt the pride or self-respect stir (curiosity)"
"aberration","straying away from what is normal","5bb70604b9e91037328e61af","5","one who hates women/females","to join together","show some inclination to accept (an offer)"
"recuperate","become strong after illness loss exhaustion","5bb70604b9e91037328e61af","6","extreme bad","additional load/charge","slandering verbal attack aspersion"
"perjury","willful FALSE statement unlawful act","5bb70604b9e91037328e61af","7","written order","praise; approval","remedial wholesome causing improvement"
"mite","A very small amount, portion, or particle","5bb70604b9e91037328e61af","8","catalyst","refuse to allow or accept as a correct","meal"
"sophisticated","complex; subtle; refined","5bb70604b9e91037328e61af","9","elation state of pleasant excitement","dullness/not allowing light to pass through","turmoil a bewildering jumble"
"pest","destructive thing or a person who is nuisance","5bb70604b9e91037328e61af","10","belong as a part have reference","that cannot be permeated","a procession"
"pluck","pull the feathers off pick (e.g.. flowers)","5bb70604b9e91037328e61af","11","directing the mind in a certain direction","give comfort or sympathy to","a quack remedy; an untested cure"
"satiate","satisfy fully","5bb70604b9e91037328e61af","12","make tight or smaller","shy easily frightened","greatly surprised"
"colloquial","involving or using conversation.","5bb70604b9e91037328e61af","13","be destroyed decay","to go away suddenly (to avoid arrest)","heavy; bulky; dull"
"yeoman","man owning small estate; middle-class farmer","5bb70604b9e91037328e61af","14","attack verbally","be faithful; to endure","to be thrifty to set limits"
"ail","to cause pain, uneasiness, or trouble to.","5bb70604b9e91037328e61af","15","giving great attention to details","use in a wrong way for one's own benefit","to tolerate; endure"
"mesmerize","hypnotize","5bb70604b9e91037328e61af","16","star; light-giving body","authority written order guarantee","induce by bribery or something to commit perjury"
"fidelity","loyalty accuracy","5bb70604b9e91037328e61af","17","cheat make a fool of","suggest something in the past","to roam wander freely"
"paradigm","a model example or pattern","5bb70604b9e91037328e61af","18","irregular in behaviour or opinion","no longer active","little known; abstruse"
"gullible","easily gulled","5bb70604b9e91037328e61af","19","without preparation","rest to sit or stand in a lazy way hang (dog's tongue)","make unfair selection from facts"
"dislodge","move force from the place occupied","5bb70604b9e91037328e61af","20","helping; supporting","welcomed with shouts and approval","To flatter; to cajole"
"ambivalent","having both of two contrary meanings","5bb70604b9e91037328e61af","21","write one's name on the back of","hide keep secret","shining; brilliant"
"articulate","speak distinctly; connect by joints","5bb70604b9e91037328e61af","22","being uncontrollably violent","customers","mean; contemptible"
"fleet","number of ships; quick-moving","5bb70604b9e91037328e61af","23","something giving strength or energy","little depth; not earnest","adjective"
"tractable","easily controlled or guided","5bb70604b9e91037328e61af","24","a person with good judgement (e.g.. in art)","substance that causes speeding up","essential part force soft liquid substance"
"partisan","one-sided committed to a party biased or prejudiced","5bb70604b9e91037328e61af","25","not easily heard; seen clearly marked","Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death","persevering"
"predominate","have more power than others","5bb70604b9e91037328e61b0","1","difficult to comprehend; obscure","avoided, kept away from","beg urgently solicit (of a prostitute)"
"foolproof","incapable of failure or error","5bb70604b9e91037328e61b0","2","lacking strength; walking unevenly","easily broken","tiring because too long"
"suffice","be enough","5bb70604b9e91037328e61b0","3","outside the law","a person who attempts to impress by acting unlike himself","pronounce or speak affectedly euphemize"
"spear","weapon with a metal point on a long shaft","5bb70604b9e91037328e61b0","4","straying away from what is normal","hand or swing loosely","complex"
"permeate","spread into every part of","5bb70604b9e91037328e61b0","5","become strong after illness loss exhaustion","in a dying state; near death","to awaken or rouse"
"solvent","of the power of forming a solution","5bb70604b9e91037328e61b0","6","willful FALSE statement unlawful act","fall back again","bulge; the protuberance of a cask"
"presentiment","anticipatory fear; premonition","5bb70604b9e91037328e61b0","7","A very small amount, portion, or particle","go or come up","bombastic"
"parenthesis","sentence within another one something separated","5bb70604b9e91037328e61b0","8","complex; subtle; refined","the mark * (e.g.. omitted letters)","make hard and without feeling"
"liberality","free giving; generosity","5bb70604b9e91037328e61b0","9","destructive thing or a person who is nuisance","taking too little care","at be discontented with"
"elaborate","worked out with much care in great detail","5bb70604b9e91037328e61b0","10","pull the feathers off pick (e.g.. flowers)","polite and friendly","catch sight of see something in the distance"
"coagulation","change to a thick and solid state","5bb70604b9e91037328e61b0","11","satisfy fully","proud; superior manner of behaviour","paint portray"
"brass","yellow metal (mixing copper and zinc)","5bb70604b9e91037328e61b0","12","involving or using conversation.","Furiously angry, enraged","jesting"
"malleable","yielding easily shaped; moldable; adapting","5bb70604b9e91037328e61b0","13","man owning small estate; middle-class farmer","becoming young in nature or appearance","write in scholarly fashion"
"sobriety","quality or condition of being sober","5bb70604b9e91037328e61b0","14","to cause pain, uneasiness, or trouble to.","getting farther apart from a point","made of brass"
"vivacious","lively high-spirited","5bb70604b9e91037328e61b0","15","hypnotize","duty support loyalty","without refinement or sensitivity; gross."
"patron","regular customer person who gives support","5bb70604b9e91037328e61b0","16","loyalty accuracy","strong energetic","put something warm (to lessen the pain)"
